	peak	chr	chromStart	chromEnd	Name	Start_b	End_b	gene	Strand	Distance	CV_amplitude	CV_phase	CV_mean	CV_pvalue	CV_qvalue	CV_fdr_BH	GF_amplitude	GF_phase	GF_mean	GF_pvalue	GF_qvalue	GF_fdr_BH	rAMP
5	chr1_7087885_7091293	chr1	7087885	7091293	13	7086920	7088920	Pcmtd1	+	0	26.437203225	12.4936583586	96.733682432	0.0321215558071	0.00204318990057	0.109606877018	37.6852849467	0.959449854147	103.065216735	0.700494999192	0.541445479813	0.894427172188	0.2732988402833142
15	chr1_13658888_13661666	chr1	13658888	13661666	28	13660509	13662509	Lactb2	-	0	35.3095713041	10.4588888474	108.676680466	0.0307839488724	0.00199969976952	0.1072738499	47.7301448208	2.08013713341	144.41694966	0.822030852307	0.541445479813	0.894427172188	0.3249047647820524
23	chr1_16687399_16689747	chr1	16687399	16689747	39	16686456	16688456	Ly96	+	0	17.4145701558	11.7363981908	78.9020122081	0.00511584102174	0.000903842126851	0.0484865909009	33.1130154058	1.22511138402	80.142300973	0.74002574827	0.541445479813	0.894427172188	0.22071135663650715
31	chr1_24095942_24103381	chr1	24095942	24103381	53	24100341	24102341	Fam135a	-	0	54.2953663963	11.9036094571	223.024818878	0.0364357061289	0.00215161390765	0.115423280479	104.775716987	1.25905856197	280.424483595	0.744479116337	0.541445479813	0.894427172188	0.24344988449918162
37	chr1_33813249_33814945	chr1	33813249	33814945	74	33814427	33816427	Zfp451	-	0	15.0113113388	11.314860747	46.9659577637	0.00931942868209	0.00116252626891	0.0623636959795	16.7301877484	2.16324184649	61.1088198827	0.827415282349	0.541445479813	0.894427172188	0.3196211054467678
40	chr1_34459035_34461015	chr1	34459035	34461015	78	34457746	34459746	Ptpn18	+	0	18.9832496732	10.9270613415	72.8809922779	0.0269527120686	0.00189180966562	0.101486087663	13.5297740869	2.69568516463	58.6384137361	0.854775333091	0.541445479813	0.894427172188	0.2604691440096702
72	chr1_39899974_39902816	chr1	39899974	39902816	137	39898913	39900913	Map4k4	+	0	19.8177732481	9.25681086858	89.2361425826	0.0110915860263	0.00126403283775	0.0678090136193	39.4826530437	1.39381368053	98.7759566684	0.760980008047	0.541445479813	0.894427172188	0.2220823611885285
76	chr1_43097345_43100177	chr1	43097345	43100177	151	43096710	43098710	AI597479	+	0	48.7621140691	12.1764341992	153.810399805	0.0458251280097	0.00237380821936	0.127342889416	54.8271479683	2.80579171554	172.964202088	0.859157757124	0.541445479813	0.894427172188	0.3170274190231632
84	chr1_45794657_45796610	chr1	45794657	45796610	174	45793501	45795501	Wdr75	+	0	14.7142322153	10.5385703558	54.1856404557	0.0489043625565	0.00243292845906	0.130514393367	20.4946775191	1.34304192355	62.1527462968	0.754976193244	0.541445479813	0.894427172188	0.27155224320601623
90	chr1_52227354_52234703	chr1	52227354	52234703	186	52233232	52235232	Gls	-	0	45.1223231035	11.173252505	196.415627791	0.0425937749977	0.00230059337782	0.123415280861	59.0961126714	1.61957563739	222.963292131	0.78486447498	0.541445479813	0.894427172188	0.2297287828416246
98	chr1_53312868_53314873	chr1	53312868	53314873	201	53311663	53313663	Osgepl1	+	0	23.2519257752	11.3789216883	70.327729632	0.00311891391722	0.000736423815811	0.0395054393086	28.7876869097	1.89441862344	81.026356515	0.808652196543	0.541445479813	0.894427172188	0.3306224429093483
103	chr1_54556528_54558256	chr1	54556528	54558256	213	54557684	54559684	Pgap1	-	0	11.670811799	11.8044938194	43.7469389491	0.0228967572965	0.00176214664933	0.0945303180228	14.9549651138	1.52712828589	48.0538065934	0.775609715431	0.541445479813	0.894427172188	0.26678007831768774
108	chr1_55130304_55133745	chr1	55130304	55133745	220	55129245	55131245	Mob4	+	0	45.061037718	10.805020499	141.768637269	0.0466051919878	0.00238412831937	0.127896510953	47.7327293566	2.75474667736	163.236544946	0.857172662515	0.541445479813	0.894427172188	0.3178491278892565
121	chr1_58688571_58694242	chr1	58688571	58694242	247	58695989	58697989	Als2cr12	-	1748	39.774173079	11.0957896635	187.837339349	0.0368147460549	0.00216197450622	0.115979074561	62.2326366307	2.47319751214	223.219686016	0.844692959683	0.541445479813	0.894427172188	0.21174795819003783
123	chr1_58712821_58714932	chr1	58712821	58714932	250	58711286	58713286	Cflar	+	0	32.740608642	11.6890516086	111.10700964	0.0281519292928	0.00192889556947	0.103475560155	42.9143180728	2.10854878684	138.644059787	0.823911089503	0.541445479813	0.894427172188	0.2946763552370232
131	chr1_59683808_59686821	chr1	59683808	59686821	270	59683006	59685006	Nop58	+	0	20.5945805064	15.1405114558	95.7019992571	0.0320342098329	0.00204130184884	0.109505592525	43.2528110162	1.24570781767	110.010345573	0.74274255433	0.541445479813	0.894427172188	0.21519488272207768
136	chr1_60179201_60182547	chr1	60179201	60182547	275	60178599	60180599	Nbeal1	+	0	37.49530784	11.6672058034	126.231864724	0.030096632441	0.00198150762811	0.106297932877	49.6896307268	2.0600747348	145.872821816	0.820677770831	0.541445479813	0.894427172188	0.29703520519150783
169	chr1_74301389_74304974	chr1	74301389	74304974	348	74304336	74306336	Tmbim1	-	0	59.6293174106	11.1979778929	172.779207814	0.0274211355093	0.00190819190026	0.102364912278	72.2288113043	1.3738580276	202.087891666	0.758649959486	0.541445479813	0.894427172188	0.34511859479522594
184	chr1_75167246_75169938	chr1	75167246	75169938	376	75166646	75168646	Zfand2b	+	0	13.0481966955	9.00360114464	63.1138417277	0.0440984374734	0.0023409534425	0.125580395638	22.7271958114	1.74120786505	72.0265061697	0.796037536512	0.541445479813	0.894427172188	0.20674065051839943
186	chr1_75189968_75193988	chr1	75189968	75193988	378	75190135	75192135	Ankzf1	+	0	42.011285731	11.7242218914	141.525279352	0.038819184109	0.00221855310689	0.119014232342	52.2980809048	1.37631621142	168.192960448	0.758939039381	0.541445479813	0.894427172188	0.29684651338161305
211	chr1_86045155_86048200	chr1	86045155	86048200	418	86043863	86045863	2810459M11Rik	+	0	26.3776168737	11.2802856219	87.8426208014	0.0245685480095	0.00181362928583	0.0972921029186	49.4768634968	3.21073187378	98.7617582129	0.429049557459	0.541445479813	0.894427172188	0.3002826718175467
219	chr1_86703013_86705194	chr1	86703013	86705194	436	86701804	86703804	Dis3l2	+	0	19.5455091103	10.029732655	63.6194375722	0.0427397720265	0.00230197128349	0.123489198581	29.6136605226	1.5611607339	78.3359549423	0.779097337384	0.541445479813	0.894427172188	0.30722543072026254
226	chr1_87755006_87757805	chr1	87755006	87757805	448	87754011	87756011	Atg16l1	+	0	24.3085357002	12.7966348888	92.2601235775	0.0132136686289	0.00137858279532	0.0739540435591	38.10407646	1.32197365471	120.528248227	0.752410554423	0.541445479813	0.894427172188	0.26347824778036893
227	chr1_87852154_87855155	chr1	87852154	87855155	450	87851287	87853287	Dgkd	+	0	25.6748504703	10.8871333964	89.6543988832	0.0370090977885	0.00216935489856	0.116374995544	27.3085289233	1.40658252044	85.342991527	0.762451087627	0.541445479813	0.894427172188	0.28637580297369114
228	chr1_88007348_88009242	chr1	88007348	88009242	453	88008551	88010551	Usp40	-	0	16.4141847633	10.8010284985	82.9732326357	0.00829734678449	0.001115883125	0.0598615255559	23.3152201373	2.83278280509	93.3826392397	0.860175929304	0.541445479813	0.894427172188	0.1978250604670023
229	chr1_88093958_88098986	chr1	88093958	88098986	456	88093001	88095001	Ugt1a7c	+	0	31.6724687603	14.5810716363	120.248678298	0.00167533498513	0.000555917867291	0.0298222016933	34.5492699151	2.69253464689	138.555981803	0.854644339635	0.541445479813	0.894427172188	0.26339140860916044
239	chr1_89453792_89456811	chr1	89453792	89456811	470	89452811	89454811	Agap1	+	0	20.714018336	10.5266544655	75.4312587413	0.0193994333773	0.00163601555394	0.0877640182007	39.8197439108	0.999833494601	96.5042688939	0.707080085405	0.541445479813	0.894427172188	0.2746078838090328
248	chr1_91454979_91459495	chr1	91454979	91459495	493	91459328	91461328	Per2	-	0	120.999306997	12.9448869691	298.033776447	0.0228686362537	0.00176101900539	0.0944698255883	76.0174706952	2.7587927794	268.948593449	0.857332905181	0.541445479813	0.894427172188	0.40599192628261577
