only_hdac3_rank,only_hdac3,only_hdac3_pval,only_nfil3_rank,only_nfil3,only_nfil3_pval,only_nr1d1_rank,only_nr1d1,only_nr1d1_pval,nfil3_nr1d1_rank,nfil3_nr1d1,nfil3_nr1d1_pval,nfil3_hdac3_rank,nfil3_hdac3,nfil3_hdac3_pval,hdac3_nr1d1_rank,hdac3_nr1d1,hdac3_nr1d1_pval,all_3_rank,all_3,all_3_pval
69,POU3F1,9.99e-06,49,GABPA,5.67e-05,72,Spi1,2.21e-06,38,IKZF2,2.33e-05,35,CREB3,1.52e-05,34,FOXC2,2.38e-10,3,KLF10,7.3e-14
90,Arnt,6.08e-05,63,ATF3,0.000104,84,ZFP14,7.85e-06,50,Hmga1,5.67e-05,37,ELF1,2.14e-05,37,KLF7,8.55e-10,5,KLF1,2.56e-13
91,MNT,6.08e-05,77,Arid3b,0.000177,95,NFYC,2.12e-05,60,ZNF213,9.09e-05,43,HNF1A,4.61e-05,42,KLF11,8.5e-09,6,KLF12,1.47e-12
96,NR2C2,7.42e-05,79,CREB1,0.000182,98,RXRB,2.59e-05,86,Pax7,0.000272,48,Elf5,5.42e-05,44,KLF2,1.15e-08,11,SP2,5.05e-10
125,POU6F1,0.000299,81,RXRG,0.000213,99,OTX2,2.8e-05,111,ZNF558,0.00104,57,FOXA2,6.93e-05,68,ZKSCAN5,9.95e-06,13,PATZ1,2.51e-09
126,SRY,0.000312,95,Erg,0.000458,100,ZNF766,2.98e-05,115,TCF3,0.00126,59,FOXO6,8.81e-05,70,POU1F1,1.19e-05,16,RREB1,2.33e-08
141,CLOCK,0.000473,104,FOSB,0.000857,107,ESRRA,4.71e-05,118,RORA,0.00146,78,FOXG1,0.000177,74,KLF6,2.12e-05,18,KLF15,4.91e-08
,,,104,JUN,0.000857,,,,,,,,,,,,,,,
144,RFX2,0.000546,110,JDP2,0.00103,119,PPARD,7.79e-05,128,Rxra,0.00187,90,POU2F1,0.00039,92,ARNT,6.46e-05,19,SP3,7.74e-08
,,,,,,,,,,,,,,,92,HIF1A,6.46e-05,,,
161,BARX2,0.0012,121,IRF9,0.00162,121,ZNF320,8.58e-05,131,HEY1,0.00203,96,CREB3L4,0.000479,94,POU3F2,7.05e-05,20,KLF16,9.19e-08
162,Pou5f1,0.00123,122,FOS,0.00164,122,Rfx6,8.72e-05,152,RXRG,0.00424,100,ZNF175,0.000658,111,SOHLH2,0.000175,21,NR5A1,2.15e-07
162,Sox2,0.00123,,FOS,,,,,,,,,,,,,,,,
,,,122,JUN,0.00164,,,,,,,,,,,,,,,
,,,,JUN,,,,,,,,,,,,,,,,
165,BNC2,0.0013,123,NR2C2,0.00177,123,HEY2,8.98e-05,153,TCF12,0.00428,101,KLF17,0.000706,113,PHOX2B,0.000198,23,SP4,3.53e-07
170,BATF3,0.0016,136,ZFP42,0.00283,129,E2F6,0.000126,169,ONECUT3,0.00627,108,RFX1,0.000959,114,EWSR1-FLI1,0.000207,26,STAT1,2.1e-06
,,,,,,,,,,,,,,,,,,26,STAT2,2.1e-06
171,FOSL1,0.00161,137,IRF4,0.00289,132,TCFL5,0.000143,186,CREM,0.0084,114,EHF,0.0012,116,MYC,0.000215,28,ZNF148,2.33e-06
171,JUND,0.00161,,,,,,,,,,,,,,,,,,
175,Creb3l2,0.00184,139,RXRA,0.00307,140,Wt1,0.000198,189,Arid3a,0.00891,117,FOXB1,0.00141,120,POU2F3,0.000258,31,FOXD3,3.94e-06
,,,139,VDR,0.00307,,,,,,,,,,,,,,,
177,XBP1,0.00203,141,FOSL2,0.00318,157,PITX2,0.000466,,,,120,ZNF257,0.0015,121,MAX,0.000261,32,ZNF460,4.37e-06
,,,141,JUND,0.00318,,,,,,,,,,,,,,,
178,HIF1A,0.00206,144,RARB,0.00338,161,Creb5,0.000573,,,,134,IRF7,0.00233,122,Mlxip,0.000261,34,FOXE1,5.25e-06
180,HOXA10,0.00208,147,MEF2A,0.00357,163,MYCN,0.000594,,,,140,FOXS1,0.00315,127,PROP1,0.000312,39,KLF5,2.49e-05
182,MLX,0.00221,154,FOXF2,0.00436,165,Nr2f6,0.00063,,,,158,ZNF454,0.00462,131,Npas2,0.000366,40,ZBED4,3.46e-05
185,FOXP1,0.00233,161,BACH2,0.00498,166,mix-a,0.000632,,,,163,FOS,0.00532,134,ZNF93,0.000386,41,ELF3,3.75e-05
186,Dmrt1,0.00233,167,SOX10,0.00584,169,ETV3,0.000673,,,,164,MLXIPL,0.00541,136,ZBTB24,0.000397,44,KLF4,4.73e-05
198,PBX3,0.00311,168,FOXK1,0.00585,170,ELF4,0.000683,,,,170,HOXD9,0.00643,148,ZNF143,0.000629,45,ZNF354A,5e-05
