Gm23877	13
Coro1a	25
Pate10	9
Coro1b	47
Pate11	7
Gm23879	7
Coro1c	8
Pate12	4
Pate13	28
n-TQttg1	1
Aadac	6
Gm31820	38
Pate14	6
n-TQttg3	10
Eola1	3
Gm31822	7
n-TQttg4	11
2810425M01Rik	8
Traj1	7
n-TQttg5	11
Traj2	6
Adam26a	4
n-TQttg6	5
Traj3	5
LOC108168286	8
Adam26b	5
Traj4	5
Traj5	4
Traj6	5
Gm31828	50
Traj7	8
Gm31829	10
Traj8	8
Scrn1	26
Shisal1	44
Traj9	9
Scrn2	60
Ppp1ccb	7
Scrn3	32
Aadat	15
Nceh1	25
Lax1	28
Gm9251	5
Gm19931	14
Gm9252	6
Gm19932	9
Snrpd1	7
Snrpd2	16
Gm9255	5
Gm19935	9
Snrpd3	13
Gm9256	8
Gm14681	10
Gm19936	13
Gm9257	13
4933405O20Rik	12
Gm14682	5
Gm9258	5
Lims1	251
Gm14685	25
4933433H22Rik	9
Lims2	58
Gm14686	6
Gm14687	5
Gm22630	5
Gm22631	4
Cap1	48
Gm22632	7
Cap2	27
A830029E22Rik	6
Gm22633	7
Gm22634	6
Lce3a	9
Dctd	34
Lce3b	4
Hepacam2	66
Lce3c	5
Lce3d	5
Gm22638	7
Lce3e	6
Lce3f	7
Tmem132cos	12
AI182371	75
Cd63-ps	3
LOC115489313	0
Gm46052	8
Lrrc74a	143
Hyou1	51
Anpep	7
Lrrc74b	60
Gm46054	18
Gm8010	5
Gm46055	11
Psma1	8
Gm46056	5
Psma2	4
Rfx1	67
Psma3	109
Gm8013	5
Rfx2	24
Gm46058	26
Ccm2l	63
Psma4	25
Rfx3	92
Gm46059	14
Psma5	11
Rfx4	56
Fdxacb1	16
Psma6	23
Gm8016	4
Rfx5	119
Rfxap	5
Psma7	10
Rfx6	16
Psma8	45
Rfx7	26
Gm8019	3
Rfx8	18
Gm13444	10
Gm13445	4
T	8
Slf1	112
Gm13446	9
Slf2	54
Osgepl1	65
Mogat1	44
Mogat2	12
Ankmy1	39
Ankmy2	18
a	231
Mmrn1	20
LOC105246106	9
Mmrn2	1
Bod1l	96
Capg	41
D030056L22Rik	14
Stap1	26
Stap2	36
Csnk2a1-ps1	6
Gm17137	7
Gm17138	2
Tcea1-ps1	7
Gm23887	7
Coro2a	27
Coro2b	66
Gm23889	3
Etv1	54
Eddm3b	9
Gm31830	5
Etv2	21
Gm31831	17
4930526I15Rik	0
E130006D01Rik	33
Etv3	10
Gm31832	14
Trak1	67
Etv4	79
1700029M03Rik	10
Trak2	83
Etv5	21
Gm31834	2
Etv6	21
Gm31835	16
Gm31836	20
Gm31839	16
Fzd1	5
Neurl2	11
Fzd2	9
Neurl3	21
Fzd3	11
Dync2li1	6
Neurl4	122
Fzd4	16
Fzd5	30
Fzd6	0
Fzd7	8
Fzd8	12
Gm12201	6
Fzd9	8
Gm9260	5
Gm12202	9
Sdr16c5	9
Sdr16c6	21
Gm9264	6
Gm12206	12
Thyn1	45
Gm19945	6
Gm9266	4
Gm9267	7
Gm14692	6
Gm12209	2
Gm9269	6
Gm19949	10
Gm14695	6
6330415B21Rik	9
Gm14696	4
Tnk1	27
Tnk2	266
Gm14698	1
1700012A03Rik	6
Gm22640	43
Thg1l	30
Rsph14	40
Gm22645	9
Taco1os	11
LOC115485637	1
Dop1a	133
Fastkd1	21
Dop1b	291
Fastkd2	10
Fastkd3	80
Fastkd5	16
LOC115489320	9
Gm46060	11
Gm46061	14
Lrrc75a	47
Gm46063	5
Lrrc75b	27
Gm8020	7
Gm46065	7
Psmb1	15
Gm18700	4
Psmb2	16
Gm8022	4
Gm18701	4
Psmb3	6
Gm8023	6
Gm46068	7
Slc13a2os	10
Gm18702	11
Psmb4	7
Gm8024	14
Gm46069	8
Gm18703	2
Psmb5	4
AV064505	7
Gm18704	10
Psmb6	12
Gm13450	8
Gm18705	9
Psmb7	18
Spink10	33
Gm13451	8
Gm18706	9
Psmb8	8
Spink11	8
Gm13452	10
Gm18707	16
Psmb9	22
Spink12	3
Gm13453	5
Gm18708	8
Spink13	24
Gm13454	8
Gm18709	5
Spink14	11
Gm13456	3
Layn	19
Gm13458	5
Upp1	42
Upp2	162
Mgat4a	178
Mgat4b	10
Armt1	24
Mgat4c	83
Gm21404	7
Mgat4d	17
Bsg	12
Mgat4e	21
Mgat4f	21
Gm23891	4
LOC115486880	13
Gm21409	3
Gm23892	8
Hdac10	42
Vsig10	8
Cpn1	5
Gm23895	5
Hdac11	15
Gm17149	10
Cpn2	6
Gm23896	3
Bsn	22
Tnks	12
Gm23897	9
Vrtn	23
Eid1	8
Gm31841	7
C030013C21Rik	5
Eid2	4
Gm31842	21
Eid3	6
Gm31843	10
Trmt112-ps1	6
Bsx	27
Gm31845	8
Trmt112-ps2	7
Ovol1	76
Gm31847	25
Ovol2	22
Ovol3	17
Gm31849	6
Kncn	20
2610024D14Rik	5
Mir7-1	14
Mir7-2	4
Gm19950	6
Gm9271	0
Gm19951	7
Gm9273	4
Gm9274	5
Gm12216	2
Kif11	8
Gm9275	8
Kif12	92
Gm9276	14
Gm19956	19
Gm12219	9
Kif14	81
Gm9278	14
Mlana	15
Kif15	7
Gm9279	15
Kif17	10
Rps15a-ps1	12
Rps15a-ps2	5
Rps15a-ps3	1
Rps15a-ps4	4
Gm22650	9
Rps15a-ps5	9
Panct2	6
Rps15a-ps6	9
Rps15a-ps7	4
Gm22652	3
Car1	21
LOC115485642	7
Rps15a-ps8	5
Car2	22
Csf1r-ps	6
LOC115485643	7
4930412E21Rik	3
Gm22654	4
Car3	2
LOC115485644	13
Mgam2-ps	5
Car4	8
Lhx1os	5
Gm22656	6
Zfp968-ps	4
Gm22657	9
Car6	12
Spocd1	30
Gm22658	7
Car7	63
Gm22659	12
Car8	59
Car9	11
Rph3a	130
Gm30600	7
Gm30601	8
4930592I03Rik	10
Gm30602	20
Gm30603	8
Macroh2a1	70
3110067G11Rik	12
H4c11	14
Gm30604	45
Macroh2a2	16
H4c12	14
Gm30605	5
Macroh2a3	9
Gm30606	5
H4c14	24
2310081J21Rik	9
Gm30608	8
Aldh16a1	18
Gm30609	13
H4c17	9
H4c18	8
Gm46070	4
Gm46071	2
Gm46072	9
Gm46073	6
Mfap1a	2
Psmc1	7
Gm8031	6
Gm46076	7
Gm18710	6
Mfap1b	3
Psmc2	24
Taco1	8
Gm8032	37
Gm46077	5
Mtnr1a	35
Gm18711	5
Psmc3	15
Gm46078	8
Mtnr1b	7
Gm18712	8
Psmc4	5
Gm8034	12
Gm18713	9
Psmc5	13
Gm8035	19
Gm18714	6
Mapkbp1	18
Gm8036	1
Psmc6	24
Clasp1	380
Kif1a	144
Gm18715	7
Clasp2	304
Kif1b	154
Gm13461	6
Gm18716	3
Gm8038	7
Kif1c	116
Gm13462	5
Gm18717	4
Gm8039	8
Gm13464	6
Gm18719	5
Map3k1	29
Map3k2	15
Gm13466	6
Map3k3	32
Map3k4	59
Map3k5	20
Gm13469	2
Map3k6	29
Map3k7	67
Map3k8	40
Gm21411	12
Map3k9	38
Gm21412	4
Btc	9
Btd	6
Mgat5b	36
Arhgdia	10
Alox12b	22
Arhgdib	78
Carf	225
Alox12e	44
Btk	12
Arhgdig	12
Btn1a1	6
LOC102634078	7
Slc48a1	9
Rps6kl1	40
Gm25101	3
Gm25102	6
Gm31850	6
Gm25104	7
A630001G21Rik	50
Gm31851	10
Gm31852	20
Tram1	20
Gm25106	5
Particl	15
Cars	71
