only_hdac3_rank,only_hdac3,only_hdac3_pval,only_nfil3_rank,only_nfil3,only_nfil3_pval,only_nr1d1_rank,only_nr1d1,only_nr1d1_pval,nfil3_nr1d1_rank,nfil3_nr1d1,nfil3_nr1d1_pval,nfil3_hdac3_rank,nfil3_hdac3,nfil3_hdac3_pval,hdac3_nr1d1_rank,hdac3_nr1d1,hdac3_nr1d1_pval,all_3_rank,all_3,all_3_pval
113,ERR1,0.000194,43,ZFP42,2.06e-05,82,TAF1,2.21e-06,46,FOXM1,2.86e-05,76,EHF,0.000395,27,ELF5,7.98e-13,1,SP1,3.15e-15
119,NR2E3,0.000256,58,HNF4A,0.000143,93,PROP1,7.57e-06,66,MEF2C,0.000266,84,FOXK1,0.00048,44,IRF1,3.91e-08,2,MAZ,7.61e-15
120,IRF7,0.000263,89,NR1D2,0.000647,95,ALX1,9.25e-06,95,MEF2D,0.000825,96,FLI1,0.000856,56,SALL4,3.74e-07,3,SP5,1.23e-14
128,SRBP2,0.000416,115,ELK4,0.0022,98,EVI1,1.09e-05,112,FOXO4,0.0021,99,PO3F2,0.0009,66,RFX1,6.13e-06,4,WT1,4.42e-13
160,RFX3,0.00154,123,SIX2,0.00288,105,BRAC,1.75e-05,141,RFX6,0.0043,147,TFE3,0.00504,72,FOXD3,8.57e-06,5,SP3,3.18e-12
174,PO3F1,0.0025,139,FOXI1,0.0042,111,HXA10,3.02e-05,143,SPI1,0.00443,151,ELK1,0.00599,77,SOX2,1.69e-05,6,KLF6,3.29e-12
190,OTX2,0.00386,146,FOXO3,0.00491,124,ERR3,6.47e-05,152,CLOCK,0.00643,153,TFEB,0.00649,87,PIT1,3.63e-05,7,KLF15,5.08e-12
211,SOX5,0.00615,149,HEN1,0.00535,137,THA11,0.000111,158,NFYB,0.00712,,,,94,HXB8,5.87e-05,8,SP2,9.52e-12
224,NF2L2,0.00735,164,E2F3,0.00903,146,CREM,0.000166,,,,,,,96,PO2F1,7.21e-05,9,ZN281,2.25e-10
225,NKX32,0.00748,,,,149,SIX4,0.00017,,,,,,,112,FOXA3,0.000194,12,KLF1,2.06e-09
,,,,,,158,EPAS1,0.000304,,,,,,,116,PRDM9,0.000225,13,ZBT17,3.45e-09
,,,,,,159,STA5A,0.00031,,,,,,,118,TYY1,0.000236,15,KLF3,2.18e-08
,,,,,,169,STF1,0.000398,,,,,,,125,PBX2,0.000347,16,NRF1,3.12e-08
,,,,,,178,HXA9,0.000591,,,,,,,139,NFIL3,0.000675,17,SP4,5.07e-08
,,,,,,184,MYCN,0.000676,,,,,,,142,NFYA,0.000831,20,STAT1,1.31e-07
,,,,,,186,MXI1,0.000711,,,,,,,143,AIRE,0.000857,21,KLF5,1.46e-07
,,,,,,196,NR5A2,0.000907,,,,,,,147,CREB1,0.000936,24,EGR2,4.64e-07
,,,,,,207,MYC,0.00116,,,,,,,149,ATF2,0.00108,27,FOXJ2,1.53e-06
,,,,,,214,ATF1,0.00134,,,,,,,151,ZN143,0.0011,37,SPIB,1.02e-05
,,,,,,215,DMRTB,0.00136,,,,,,,155,TCF7,0.00136,42,FOXJ3,1.91e-05
,,,,,,219,NFYC,0.0014,,,,,,,158,DMRT1,0.0014,45,IRF8,2.78e-05
,,,,,,220,HIF1A,0.00144,,,,,,,188,SMCA5,0.00352,47,IRF2,3.07e-05
,,,,,,238,MITF,0.00217,,,,,,,199,FOXA1,0.00484,49,ETS1,3.58e-05
,,,,,,257,SOX10,0.00316,,,,,,,200,NR1H3,0.00493,50,FOXL2,3.78e-05
,,,,,,279,PO2F2,0.00448,,,,,,,228,FOXQ1,0.00818,54,EGR1,5.71e-05
,,,,,,283,PRDM1,0.00501,,,,,,,232,BARX1,0.0086,55,ELF2,7.26e-05
,,,,,,286,SOX4,0.00531,,,,,,,,,,56,GABPA,9.15e-05
,,,,,,292,MAX,0.0057,,,,,,,,,,61,STAT2,0.000174
,,,,,,293,USF1,0.00578,,,,,,,,,,63,IRF3,0.000194
,,,,,,300,FOXP2,0.00612,,,,,,,,,,65,ELF3,0.000266
,,,,,,302,BMAL1,0.00613,,,,,,,,,,68,IRF4,0.000284
,,,,,,303,VDR,0.00613,,,,,,,,,,69,FOXC1,0.000335
,,,,,,307,ZFX,0.00653,,,,,,,,,,74,RARA,0.000365
,,,,,,310,TBX21,0.00673,,,,,,,,,,80,PO5F1,0.000422
,,,,,,311,RFX2,0.00718,,,,,,,,,,83,ETV2,0.000428
,,,,,,312,E2F6,0.00721,,,,,,,,,,88,ETV4,0.000641
,,,,,,324,BATF3,0.00966,,,,,,,,,,94,NKX61,0.0008
,,,,,,325,MEIS1,0.00983,,,,,,,,,,97,ETS2,0.000883
,,,,,,326,STAT4,0.00985,,,,,,,,,,100,ELF1,0.000901
,,,,,,,,,,,,,,,,,,103,E2F4,0.0011
,,,,,,,,,,,,,,,,,,109,HNF1A,0.00157
,,,,,,,,,,,,,,,,,,110,E2F7,0.00161
,,,,,,,,,,,,,,,,,,114,MEF2A,0.00213
,,,,,,,,,,,,,,,,,,117,SRY,0.00229
,,,,,,,,,,,,,,,,,,118,HNF1B,0.00231
,,,,,,,,,,,,,,,,,,121,FOXA2,0.00259
,,,,,,,,,,,,,,,,,,125,E2F1,0.00304
,,,,,,,,,,,,,,,,,,126,ERR2,0.00308
,,,,,,,,,,,,,,,,,,128,RXRG,0.0033
,,,,,,,,,,,,,,,,,,130,NANOG,0.00341
,,,,,,,,,,,,,,,,,,136,RXRA,0.00387
,,,,,,,,,,,,,,,,,,140,KLF4,0.00428
,,,,,,,,,,,,,,,,,,154,ERG,0.00653
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
