	peak	chr	chromStart	chromEnd	Name	Start_b	End_b	gene	Strand	Distance	CV_amplitude	CV_phase	CV_mean	CV_pvalue	CV_qvalue	CV_fdr_BH	GF_amplitude	GF_phase	GF_mean	GF_pvalue	GF_qvalue	GF_fdr_BH	rAMP
3	chr1_5082507_5084687	chr1	5082507	5084687	8	5081173	5083173	Atp6v1h	+	0	47.665297001	10.6999076771	86.8242827095	0.00780415156082	0.0007150545743	0.0216427688316	59.9361700152	2.1214509047	272.175974225	0.285308914058	0.00400980721566	0.359593391469	0.5489857850076386
9	chr1_9797348_9800531	chr1	9797348	9800531	16	9796130	9798130	Sgk3	+	0	24.5630747035	11.3875762091	61.8638448294	2.14567048604e-05	5.44010102794e-05	0.00164657150936	50.2146315421	1.30335540068	241.768445354	0.10066637206	0.00304455700197	0.273031225437	0.39705056760110574
14	chr1_13371129_13375229	chr1	13371129	13375229	23	13374083	13376083	Ncoa2	-	0	180.171684157	11.4275247905	329.047553736	0.0177624579592	0.00110136976498	0.0333354852597	133.302741346	0.193512313881	776.766269408	0.161823653046	0.00313312700015	0.280974047701	0.5475551546010111
16	chr1_13658677_13661489	chr1	13658677	13661489	26	13660509	13662509	Lactb2	-	0	89.4197275754	11.1891992786	135.490684555	0.000906580361617	0.00031943784884	0.00966852009202	56.7585075971	1.99972962656	390.193574029	0.260604379764	0.0038452163687	0.344833135506	0.6599695607789308
17	chr1_13667604_13670153	chr1	13667604	13670153	27	13666771	13668771	Xkr9	+	0	27.0334922559	9.54176604239	48.4912861769	0.00220725740299	0.000436379848213	0.0132080382632	56.3368215416	3.08139749634	244.785916123	0.420982840208	0.0050629829429	0.454040583367	0.5574917554729258
18	chr1_15804909_15806977	chr1	15804909	15806977	28	15803658	15805658	Terf1	+	0	63.3036326361	10.5413776364	107.951255836	0.00641845342848	0.000658139678477	0.019920108803	47.7287089598	0.645745214238	243.316322574	0.0238935382336	0.0029624061684	0.265664064058	0.5864094136363837
19	chr1_16101964_16107932	chr1	16101964	16107932	29	16103882	16105882	Rdh10	+	0	172.19250673	11.1052825111	312.520746136	0.00177126244123	0.000403595508107	0.0122157449199	136.300128097	1.35917788536	826.651884289	0.112940057967	0.00306527538972	0.274889218831	0.5509794433137145
24	chr1_16687514_16689878	chr1	16687514	16689878	35	16686456	16688456	Ly96	+	0	39.9842787279	9.46048522077	74.9508702492	0.0040032051787	0.000542188773647	0.0164105883843	51.5117493632	0.459299542206	209.212214054	0.0811331753019	0.00303569292063	0.272236308151	0.5334731750940114
27	chr1_21077871_21080257	chr1	21077871	21080257	40	21079225	21081225	Tram2	-	0	30.5781684506	11.7656412249	75.1930574162	0.00301468202743	0.000486245354233	0.0147173323202	75.5362058387	0.366176578339	209.608332282	0.107743833041	0.00305801867314	0.274238447563	0.4066621241552557
28	chr1_21217864_21220149	chr1	21217864	21220149	42	21216631	21218631	Tmem14a	+	0	47.4936367147	10.3918707308	87.5543164696	0.00850551743827	0.000744575673738	0.022536292702	38.3032729928	20.37595888	285.217522599	0.192251993999	0.00345325169846	0.309682342083	0.5424476899570156
